"Data Source","World Development Indicators",

"Last Updated Date","2019-10-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.02641","","","","","","","","","","99.13841","","","","","","","","99.5",
"Afghanistan","AFG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","30.0663509368896","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.99005","","","","","","","65.42055",
"Angola","AGO","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.19449","","","","","","","","","","","","","77.43113","","","","",
"Albania","ALB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.43515","","","","","","","98.83121","","","98.79119","99.2314","","","","","","99.33",
"Andorra","AND","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","63.1257591247559","63.6163291931152","64.2463226318359","64.9827423095703","65.6694412231445","66.4236602783203","67.5801315307617","68.7432174682617","70.084228515625","70.9800109863281","72.0822296142578","73.1042404174805","74.1891937255859","75.6177215576172","76.5258712768555","76.2306365966797","77.0491409301758","77.8911972045898","78.9295883178711","79.7245635986328","80.405647277832","81.1405334472656","81.7122192382813","82.6899032592773","83.7028198242188","84.6292877197266","85.3179016113281","85.780517578125","84.3666229248047","85.1376876831055","85.81640625","83.1815795898438","83.60195","84.02709","85.11303","85.82474","86.08416","86.27419","84.96331","85.34282","85.5976",
"United Arab Emirates","ARE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","63.0476112365723","","","","","","","","","","82.4726409912109","","","","","","","","","","","","","","","","","","","","95.00645","","","","","","","","","","","","","",
"Argentina","ARG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","96.8825378417969","","","","","","","","","","","98.3046417236328","","","","","","","","","","98.91666","","","","","99.44608","","","99.58429","99.29864","99.62824","99.37587","99.55132","99.29671","99.5597","99.50271","","99.50552",
"Armenia","ARM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9099578857422","","","","","","","","","","","","99.80728","","","","","","","","","","99.8474","","","","","","99.84702","",
"American Samoa","ASM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","97.6542129516602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.886100769043","","","","","","","","100","","99.9513","99.9506","99.9441","99.93675","99.95247","99.95699","99.94278","99.94048","99.93805","",
"Burundi","BDI","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","30.9765892028809","","","","","","","","","","","53.5552101135254","","","","","","","","","","73.33006","","","","","","","","61.73879","","","","","","79.55961","","","88.22177","",
"Belgium","BEL","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","29.7867393493652","","","","","","","","","","","","","39.8766098022461","","","","","","","","","","45.30962","","","","42.3627","","","","","","52.49247","","","","","","60.94808",
