NE_ID;SOVEREIGNT;ADM0_A3_US;Risk;Exposure;Hazard;Vulnerbility
1159320319;Afghanistan;AFG;54,85140856;62;34;42
1159320323;Angola;AGO;50,01259131;62;22;42
1159320325;Albania;ALB;30,80600025;36;18;36
1159320329;United Arab Emirates;ARE;38,9545019;61;5;34
1159320331;Argentina;ARG;21,75272822;29;1;40
1159320333;Armenia;ARM;25,686755;39;2;34
1159320355;Australia;AUS;53,79142079;27;44;64
1159320363;Australia;AUS;53,79142079;27;44;64
1159320379;Austria;AUT;31,67692953;23;34;35
1159320381;Azerbaijan;AZE;25,26785368;37;4;35
1159320387;Burundi;BDI;55,4600509;44;22;73
1159320389;Belgium;BEL;30,43303639;22;34;34
1159320399;Benin;BEN;44,93229293;46;35;35
1159320405;Burkina Faso;BFA;59,9686431;44;38;69
1159320407;Bangladesh;BGD;65,84418476;67;26;70
1159320409;Bulgaria;BGR;22,94893911;31;1;39
1159320413;Bahrain;BHR;29,57125789;40;1;38
1159320417;Bosnia and Herzegovina;BIH;16,07372125;27;3;35
1159320427;Belarus;BLR;21,52612345;32;0;36
1159320439;Bolivia;BOL;40,70605028;34;7;64
1159320441;Brazil;BRA;25,82067045;33;4;40
1159320453;Bhutan;BTN;41,91212191;38;14;56
1159320461;Botswana;BWA;41,96403246;38;7;60
1159320463;Central African Republic;CAF;64,65099007;53;42;68
1159320467;Canada;CAN;29,00472035;24;34;30
1159320471;China;CHN;54,34982082;39;28;71
1159320491;Switzerland;CHE;27,71835685;22;34;30
1159320493;Chile;CHL;34,62729291;30;3;60
1159320507;Ivory Coast;CIV;45,93635253;48;32;38
1159320509;Cameroon;CMR;38,31311714;51;13;37
1159320517;Colombia;COL;24,43958773;34;4;37
1159320521;Comoros;COM;39,13664878;43;21;40
1159320523;Cabo Verde;CPV;40,16409252;38;5;57
1159320525;Costa Rica;CRI;12,7222635;29;3;29
1159320527;Cuba;CUB;24,33765121;42;3;30
1159320531;Northern Cyprus;CYP;17,88936288;35;1;29
1159320533;Cyprus;CYP;17,88936288;35;1;29
1159320535;Czechia;CZE;36,39930385;28;34;38
1159320539;Germany;DEU;28,06910375;18;34;34
1159320541;Djibouti;DJI;52,01429666;43;56;32
1159320547;Denmark;DNK;24,95944076;20;34;28
1159320563;Dominican Republic;DOM;28,99399888;39;3;38
1159320565;Algeria;DZA;25,81122138;33;7;39
1159320567;Ecuador;ECU;28,36500518;37;4;39
1159320575;Egypt;EGY;34,15856837;38;14;42
